question_id,label,response,difficulty,input_tokens,output_tokens,total_tokens,correct
sample_1,E,E,basic,6885,5539,12424,1
sample_2,E,E,basic,6820,5399,12219,1
sample_3,B,B,basic,6701,5080,11781,1
sample_4,D,D,basic,7515,6229,13744,1
sample_5,C,C,basic,6369,4728,11097,1
sample_6,A,A,basic,7510,6200,13710,1
sample_7,E,E,basic,7682,5306,12988,1
sample_8,B,B,basic,6990,5572,12562,1
sample_9,E,E,basic,7401,5816,13217,1
sample_10,D,D,basic,7803,6226,14029,1
sample_11,E,D,intermediate,73828,7522,81350,0
sample_12,E,C,basic,7544,5981,13525,0
sample_13,D,D,advanced,25851,17213,43064,1
sample_14,E,B,basic,9099,7083,16182,0
sample_15,E,E,basic,7043,71403,78446,1
sample_16,E,E,basic,7130,5292,12422,1
sample_17,A,A,intermediate,26730,6342,33072,1
sample_18,D,A,basic,7272,5393,12665,0
sample_19,E,C,advanced,26323,17384,43707,0
sample_20,A,A,intermediate,27366,6879,34245,1
sample_21,E,E,basic,6803,5549,12352,1
sample_22,E,E,basic,9328,6945,16273,1
sample_23,A,A,basic,6640,5025,11665,1
sample_24,C,C,basic,7148,5954,13102,1
sample_25,C,C,basic,7760,6009,13769,1
sample_26,D,D,basic,8710,6962,15672,1
sample_27,E,E,basic,8480,7435,15915,1
sample_28,A,A,intermediate,34507,7647,42154,1
sample_29,D,D,basic,6549,5306,11855,1
sample_30,D,D,intermediate,26961,6534,33495,1
sample_31,B,B,basic,6635,5175,11810,1
sample_32,B,B,basic,8041,6250,14291,1
sample_33,C,C,basic,6372,5277,11649,1
sample_34,D,D,basic,6345,4714,11059,1
sample_35,A,A,basic,6500,5183,11683,1
sample_36,D,A,basic,10350,8198,18548,0
sample_37,C,C,basic,6869,5175,12044,1
sample_38,B,D,basic,7078,5385,12463,0
sample_39,C,C,basic,7636,5338,12974,1
sample_40,A,A,basic,6205,4753,10958,1
sample_41,B,B,basic,7880,6718,14598,1
sample_42,C,C,basic,6348,4839,11187,1
sample_43,C,C,advanced,29743,21187,50930,1
sample_44,D,D,basic,8087,5131,13218,1
sample_45,B,,basic,8151,6423,14574,0
sample_46,D,D,basic,6495,4969,11464,1
sample_47,B,B,basic,8087,6646,14733,1
sample_48,C,C,basic,6828,5459,12287,1
sample_49,C,C,basic,6704,5223,11927,1
sample_50,A,A,basic,5250,3927,9177,1
sample_51,D,D,intermediate,32184,7138,39322,1
sample_52,D,C,intermediate,53476,7108,60584,0
sample_53,E,E,basic,6577,5285,11862,1
sample_54,B,B,basic,7747,5711,13458,1
sample_55,E,E,basic,6935,5147,12082,1
sample_56,B,B,basic,5908,4708,10616,1
sample_57,A,A,basic,6862,5105,11967,1
sample_58,D,D,basic,7219,5598,12817,1
sample_59,B,B,intermediate,35255,7383,42638,1
sample_60,C,C,basic,6857,5241,12098,1
sample_61,C,C,basic,7768,5853,13621,1
sample_62,A,A,basic,7629,6160,13789,1
sample_63,B,B,basic,6033,4630,10663,1
sample_64,D,D,intermediate,30679,6520,37199,1
sample_65,E,A,basic,8142,6170,14312,0
sample_66,E,E,basic,5901,4710,10611,1
sample_67,A,A,basic,9432,7786,17218,1
sample_68,A,A,basic,8011,6207,14218,1
sample_69,D,D,basic,6514,4425,10939,1
sample_70,E,E,intermediate,26452,5543,31995,1
sample_71,A,A,advanced,24145,17593,41738,1
sample_72,D,A,basic,7998,6167,14165,0
sample_73,A,A,basic,5810,3772,9582,1
sample_74,B,B,intermediate,213609,11349,224958,1
sample_75,B,B,basic,5679,4021,9700,1
sample_76,D,D,basic,5487,3998,9485,1
sample_77,A,A,basic,9006,7551,16557,1
sample_78,E,E,basic,6617,5005,11622,1
sample_79,E,E,basic,7959,6285,14244,1
sample_80,E,E,basic,5809,4804,10613,1
sample_81,C,,basic,6540,5087,11627,0
sample_82,B,B,basic,6347,5095,11442,1
sample_83,C,C,intermediate,62881,7123,70004,1
sample_84,E,E,basic,6623,4804,11427,1
sample_85,C,C,basic,6753,5413,12166,1
sample_86,C,C,basic,7628,5939,13567,1
sample_87,A,D,basic,7006,5795,12801,0
sample_88,D,D,basic,7127,5757,12884,1
sample_89,B,B,advanced,29724,19052,48776,1
sample_90,B,B,basic,7272,5772,13044,1
sample_91,D,C,basic,9583,7719,17302,0
sample_92,C,C,basic,8104,6967,15071,1
sample_93,D,D,basic,6525,5122,11647,1
sample_94,A,,basic,7591,5983,13574,0
sample_95,B,B,basic,6581,5201,11782,1
sample_96,A,A,basic,4888,3418,8306,1
sample_97,C,C,intermediate,26368,6790,33158,1
sample_98,E,A,basic,8733,6665,15398,0
sample_99,B,B,intermediate,244400,10162,254562,1
sample_100,D,D,intermediate,79299,7968,87267,1
sample_101,E,E,basic,5706,4447,10153,1
sample_102,A,C,basic,7973,6510,14483,0
sample_103,A,A,basic,7127,5339,12466,1
sample_104,C,C,basic,8145,6576,14721,1
sample_105,C,C,basic,7205,6137,13342,1
sample_106,D,D,advanced,28233,18247,46480,1
sample_107,C,C,basic,5954,4434,10388,1
sample_108,A,A,basic,8233,6585,14818,1
sample_109,B,B,basic,6081,4875,10956,1
sample_110,B,B,basic,5997,4430,10427,1
sample_111,A,A,basic,6869,5548,12417,1
sample_112,E,E,advanced,27442,17750,45192,1
sample_113,E,E,basic,7089,6222,13311,1
sample_114,D,A,intermediate,37751,7052,44803,0
sample_115,B,B,basic,7670,5809,13479,1
sample_116,B,B,intermediate,25279,6090,31369,1
sample_117,D,E,basic,8012,6527,14539,0
sample_118,D,D,basic,7251,5489,12740,1
sample_119,C,C,basic,7551,6154,13705,1
sample_120,C,C,basic,7494,5936,13430,1
sample_121,E,E,basic,7088,6040,13128,1
sample_122,E,E,basic,7525,5652,13177,1
sample_123,B,D,basic,8137,5665,13802,0
sample_124,A,A,basic,6841,5257,12098,1
sample_125,A,A,basic,6179,4186,10365,1
sample_126,D,D,basic,6470,5202,11672,1
sample_127,A,A,basic,8119,6679,14798,1
sample_128,D,D,basic,5363,3996,9359,1
sample_129,B,B,basic,7290,5498,12788,1
sample_130,D,D,basic,9109,7569,16678,1
sample_131,A,A,basic,7211,5173,12384,1
sample_132,A,A,basic,10303,9084,19387,1
sample_133,B,B,basic,6584,5306,11890,1
sample_134,A,A,basic,6733,5246,11979,1
sample_135,D,D,basic,9736,7692,17428,1
sample_136,B,B,basic,6515,5368,11883,1
sample_137,D,A,basic,5710,69715,75425,0
sample_138,D,D,basic,7304,71515,78819,1
sample_139,B,B,intermediate,25523,7110,32633,1
sample_140,C,C,basic,7559,6378,13937,1
sample_141,D,D,basic,8649,6155,14804,1
sample_142,B,A,basic,5787,4359,10146,0
sample_143,B,B,basic,7318,5107,12425,1
sample_144,A,A,basic,6746,5168,11914,1
sample_145,B,,basic,8121,6813,14934,0
sample_146,C,C,basic,7149,5513,12662,1
sample_147,B,B,basic,8886,6915,15801,1
sample_148,B,B,basic,6823,5697,12520,1
sample_149,A,A,basic,6889,5204,12093,1
sample_150,B,B,basic,8420,6827,15247,1
sample_151,A,D,intermediate,32675,7125,39800,0
sample_152,C,A,basic,9813,8138,17951,0
sample_153,C,C,basic,7498,6148,13646,1
sample_154,A,A,intermediate,26218,5524,31742,1
sample_155,D,B,intermediate,25524,5534,31058,0
sample_156,A,A,basic,7329,4617,11946,1
sample_157,D,D,basic,8044,6245,14289,1
sample_158,A,A,basic,6559,70109,76668,1
sample_159,A,A,basic,7131,5480,12611,1
sample_160,B,D,basic,8516,6833,15349,0
sample_161,D,D,basic,6553,5340,11893,1
sample_162,D,D,basic,5002,3346,8348,1
sample_163,A,B,intermediate,130679,8921,139600,0
sample_164,E,E,basic,6371,5011,11382,1
sample_165,E,E,basic,6970,4993,11963,1
sample_166,D,D,basic,9443,6399,15842,1
sample_167,C,A,advanced,27010,17505,44515,0
sample_168,C,C,basic,6734,5068,11802,1
sample_169,E,E,basic,6695,5016,11711,1
sample_170,C,C,intermediate,34911,7792,42703,1
sample_171,D,D,basic,6293,4827,11120,1
sample_172,A,A,basic,7239,5029,12268,1
sample_173,C,C,basic,9000,6623,15623,1
sample_174,A,A,basic,7974,6230,14204,1
sample_175,C,C,intermediate,32747,7634,40381,1
sample_176,B,A,basic,8624,72186,80810,0
sample_177,C,A,basic,6963,5623,12586,0
sample_178,A,A,basic,7137,5706,12843,1
sample_179,A,A,basic,7230,5327,12557,1
sample_180,C,C,basic,5995,4726,10721,1
sample_181,A,A,basic,7650,4869,12519,1
sample_182,C,C,basic,7529,5914,13443,1
sample_183,C,C,basic,7485,5858,13343,1
sample_184,E,E,basic,6403,4516,10919,1
sample_185,D,A,basic,8308,6649,14957,0
sample_186,B,B,basic,6567,5190,11757,1
sample_187,C,C,basic,7923,6452,14375,1
sample_188,B,B,basic,8380,7105,15485,1
sample_189,D,D,basic,7405,5509,12914,1
sample_190,C,C,basic,6493,4421,10914,1
sample_191,C,C,basic,7465,5855,13320,1
