question_id,label,response,difficulty,input_tokens,output_tokens,total_tokens,correct
sample_1,C,B,basic,8249,6834,15083,0
sample_2,E,E,basic,8412,7791,16203,1
sample_3,C,C,basic,10135,8505,18640,1
sample_4,D,D,advanced,14084,8190,22274,1
sample_5,B,B,basic,8222,7072,15294,1
sample_6,E,C,basic,10453,9543,19996,0
sample_7,D,D,basic,6280,5432,11712,1
sample_8,C,C,basic,9794,8492,18286,1
sample_9,C,C,basic,6114,4883,10997,1
sample_10,A,A,basic,6943,5987,12930,1
sample_11,E,E,basic,8610,6811,15421,1
sample_12,D,D,advanced,19722,11858,31580,1
sample_13,B,B,intermediate,27618,6870,34488,1
sample_14,E,E,basic,7849,6710,14559,1
sample_15,D,D,basic,6783,5697,12480,1
sample_16,B,B,advanced,18459,11157,29616,1
sample_17,E,E,basic,9047,7693,16740,1
sample_18,E,E,basic,8178,6482,14660,1
sample_19,B,B,basic,7124,5743,12867,1
sample_20,E,C,basic,5985,4688,10673,0
sample_21,C,E,advanced,16248,10655,26903,0
sample_22,A,D,basic,6187,5305,11492,0
sample_23,D,E,basic,9459,8588,18047,0
sample_24,E,B,basic,8321,7298,15619,0
sample_25,A,A,basic,8361,6343,14704,1
sample_26,E,E,basic,8353,15905,24258,1
sample_27,E,E,basic,7056,5429,12485,1
sample_28,A,A,basic,6494,5141,11635,1
sample_29,D,D,basic,7591,5885,13476,1
sample_30,D,A,basic,8972,7981,16953,0
sample_31,E,E,basic,7630,6960,14590,1
sample_32,C,D,basic,9770,8814,18584,0
sample_33,E,E,advanced,17903,9979,27882,1
sample_34,B,E,advanced,16419,10594,27013,0
sample_35,B,B,advanced,20399,12271,32670,1
sample_36,A,A,basic,6265,5827,12092,1
sample_37,E,E,basic,7095,7129,14224,1
sample_38,A,A,basic,6999,6216,13215,1
sample_39,E,E,basic,11550,9485,21035,1
sample_40,A,A,basic,7366,6214,13580,1
sample_41,D,D,advanced,13964,8012,21976,1
sample_42,C,C,basic,10173,7780,17953,1
sample_43,A,A,basic,8493,6784,15277,1
sample_44,C,C,basic,7613,6933,14546,1
sample_45,B,D,advanced,17182,9934,27116,0
sample_46,E,A,advanced,16542,11110,27652,0
sample_47,C,C,basic,7827,6457,14284,1
sample_48,A,A,basic,7899,6648,14547,1
sample_49,B,B,basic,7144,6253,13397,1
sample_50,D,D,basic,6541,5462,12003,1
sample_51,E,E,basic,9080,8102,17182,1
sample_52,A,A,basic,8017,6603,14620,1
sample_53,D,D,basic,4947,3958,8905,1
sample_54,D,D,basic,6488,6071,12559,1
sample_55,B,B,basic,7644,6757,14401,1
sample_56,B,B,basic,5579,4467,10046,1
sample_57,C,C,basic,7231,6596,13827,1
sample_58,B,B,advanced,13455,9510,22965,1
sample_59,C,C,intermediate,38160,7618,45778,1
sample_60,A,C,basic,9189,8041,17230,0
sample_61,D,D,intermediate,26714,7278,33992,1
sample_62,A,A,basic,7314,6203,13517,1
sample_63,D,B,basic,6302,6662,12964,0
sample_64,A,A,basic,8278,7296,15574,1
sample_65,A,C,basic,7074,5609,12683,0
sample_66,C,C,basic,6417,5727,12144,1
sample_67,D,D,basic,6914,5576,12490,1
sample_68,C,C,advanced,19235,11460,30695,1
sample_69,D,D,advanced,19120,12336,31456,1
sample_70,A,B,basic,7329,5990,13319,0
sample_71,A,A,basic,7518,6241,13759,1
sample_72,A,A,basic,5999,4639,10638,1
sample_73,C,C,advanced,21331,12145,33476,1
sample_74,B,B,basic,6418,5570,11988,1
sample_75,C,A,basic,7695,5886,13581,0
sample_76,A,A,basic,6707,5543,12250,1
sample_77,B,B,basic,7142,6045,13187,1
sample_78,B,,basic,7129,6170,13299,0
sample_79,D,D,basic,7550,6916,14466,1
sample_80,C,C,basic,8199,6545,14744,1
sample_81,B,B,basic,6662,5930,12592,1
sample_82,B,D,basic,7950,11003,18953,0
sample_83,C,C,basic,6915,5802,12717,1
sample_84,B,B,basic,6773,4806,11579,1
sample_85,D,D,intermediate,37409,8564,45973,1
sample_86,C,C,basic,7356,5919,13275,1
sample_87,C,C,basic,7454,6892,14346,1
sample_88,D,D,basic,9003,6563,15566,1
sample_89,C,C,advanced,14692,9104,23796,1
sample_90,C,C,basic,7838,6546,14384,1
sample_91,E,E,advanced,18747,12137,30884,1
sample_92,B,,advanced,15033,10730,25763,0
sample_93,D,D,basic,6216,5271,11487,1
sample_94,E,C,advanced,19598,11846,31444,0
sample_95,C,C,basic,9083,10191,19274,1
sample_96,D,D,basic,11212,10378,21590,1
sample_97,A,A,basic,8433,7536,15969,1
sample_98,B,B,basic,8010,7878,15888,1
sample_99,C,C,basic,8088,7317,15405,1
sample_100,C,C,basic,6566,5717,12283,1
sample_101,E,E,basic,9127,8186,17313,1
sample_102,A,A,basic,6155,5312,11467,1
sample_103,A,A,basic,7303,6459,13762,1
sample_104,A,A,advanced,16145,11678,27823,1
sample_105,C,C,basic,6330,4857,11187,1
sample_106,B,B,basic,8199,6867,15066,1
sample_107,C,A,basic,6809,5370,12179,0
sample_108,A,A,basic,6341,5136,11477,1
sample_109,E,E,basic,7304,6351,13655,1
sample_110,C,C,basic,8573,6907,15480,1
sample_111,D,D,advanced,22461,12636,35097,1
sample_112,C,C,basic,8853,7372,16225,1
sample_113,B,A,advanced,16028,9792,25820,0
sample_114,D,D,basic,7739,6762,14501,1
sample_115,D,D,basic,7581,6172,13753,1
sample_116,E,E,basic,8792,7614,16406,1
sample_117,D,E,advanced,13632,8430,22062,0
sample_118,D,D,basic,7675,5817,13492,1
sample_119,E,E,basic,8088,6695,14783,1
sample_120,C,C,advanced,15722,9730,25452,1
sample_121,D,B,basic,8472,7218,15690,0
sample_122,B,B,basic,7444,5547,12991,1
sample_123,E,E,basic,6589,5500,12089,1
sample_124,A,A,advanced,19720,11675,31395,1
sample_125,B,B,basic,6606,5645,12251,1
sample_126,A,A,basic,6828,5535,12363,1
sample_127,A,A,advanced,14924,9371,24295,1
sample_128,D,D,advanced,21583,14105,35688,1
sample_129,A,C,advanced,18726,11922,30648,0
sample_130,A,A,basic,6898,5533,12431,1
sample_131,B,B,basic,8854,7647,16501,1
sample_132,B,B,basic,7930,7057,14987,1
sample_133,A,A,intermediate,32841,8660,41501,1
sample_134,B,B,advanced,19331,12075,31406,1
sample_135,A,A,basic,6474,5362,11836,1
sample_136,C,C,basic,6710,7127,13837,1
sample_137,D,D,basic,7245,7635,14880,1
sample_138,E,E,advanced,21282,14006,35288,1
sample_139,C,C,basic,6420,5603,12023,1
sample_140,D,D,basic,8759,7867,16626,1
sample_141,D,D,basic,5983,4810,10793,1
sample_142,A,A,basic,7992,5844,13836,1
sample_143,A,A,basic,6944,6200,13144,1
sample_144,B,B,basic,7312,6416,13728,1
sample_145,D,A,basic,6148,4782,10930,0
sample_146,D,C,basic,7459,5963,13422,0
sample_147,D,D,basic,6626,5429,12055,1
sample_148,D,D,basic,7181,5772,12953,1
sample_149,B,B,advanced,15723,10429,26152,1
sample_150,E,A,basic,6118,4545,10663,0
